Lunation Number,Date of occurrence,Day of Month,Time of occurrence,Time Difference,Angle of Rays,Eclipse Type 1,Gamma,Magnitude 1,Latitude,Longitude,Eclipse Duration (m)
LN-48958,2020-09,30,13:44:26,45463,-14,N,-1.2885,0.4952,5S,16W,194.78699999999998
LN-48957,2020-10,30,02:58:31,45461,24,N,1.5077,0.1103,10N,142E,98.8071
LN-48952,2020-03,27,15:49:23,45451,-9,P,0.6252,1.7395,5N,45W,349.32915
LN-48946,2020-09,20,04:17:44,45439,-4,P,-0.5760000000000001,1.7842,9S,125E,307.45455000000004
LN-48940,2022-03,16,16:35:22,45427,1,T-,-0.1234,2.6701,8N,56W,387.7833
LN-48934,2021-09,9,20:13:35,45416,6,T+,0.1059,2.6510000000000002,12S,114W,335.02545
LN-48928,2022-03,4,18:36:11,45404,11,P,-0.8581,1.3071,12N,86W,312.74070000000006
LN-48922,2023-08,29,08:51:57,45392,16,P,0.8463,1.3153,15S,57E,300.19905
LN-48917,2025-01,23,17:07:04,45383,-17,N,1.1268,0.7796,24N,63W,232.41195
LN-48916,2021-02,22,03:20:00,45381,21,N,-1.5328,0.0425,15N,143E,59.73105
LN-48911,2020-07,19,22:47:07,45371,-12,N,-1.2670000000000001,0.5715,25S,153W,231.47910000000002
LN-48905,2023-01,13,08:52:18,45359,-7,T,0.429,2.0525,24N,59E,317.61225
LN-48899,2024-07,8,23:09:54,45348,-2,P,-0.5236,1.9297,24S,160W,361.76715
LN-48893,2025-01,3,00:00:33,45336,3,T-,-0.2583,2.3808,24N,170W,337.92765
LN-48887,2020-06,28,04:23:00,45324,8,T+,0.2538,2.399,23S,121E,355.4445
LN-48881,2021-12,23,10:01:00,45313,13,Nx,-1.0001,1.0493,22N,39E,284.23695000000004
LN-48876,2021-05,18,09:48:07,45303,-20,Ne,-1.5162,0.0472,16S,39E,60.042
LN-48875,2023-06,16,16:52:31,45301,18,P,0.9869,1.0272,21S,67W,259.4646
LN-48870,2022-11,11,17:10:18,45291,-15,N,1.3259,0.4794,14N,71W,216.24255
LN-48864,2023-05,8,03:06:11,45280,-10,P,-0.7995,1.3638,12S,140E,283.40774999999996
LN-48858,2022-10,31,17:24:42,45268,-5,P,0.6306,1.7402,9N,75W,347.46345
LN-48852,2022-04,27,17:47:12,45256,0,T-,-0.055999999999999994,2.7494,8S,79W,349.95105
LN-48846,2020-10,21,00:19:31,45245,5,T-,-0.0873,2.7076,4N,178W,351.81675
LN-48840,2022-04,17,01:57:10,45233,10,P,0.7453,1.5125,3S,160E,330.5685
LN-48834,2025-10,10,13:44:03,45221,15,P,-0.7556,1.4589,1S,18W,291.1815
LN-48829,2020-03,6,12:02:07,45212,-18,N,-1.359,0.4017,11N,12E,196.6527
LN-48828,2024-04,5,03:37:38,45210,20,N,1.5198,0.1056,2N,136E,104.09325
LN-48823,2024-08,30,19:16:55,45200,-13,N,1.246,0.5632,14S,100W,203.18264999999997
LN-48822,2024-09,29,05:34:07,45198,25,N,-1.4118,0.2538,6S,105E,137.5722
LN-48817,2021-02,23,15:33:11,45188,-8,P,-0.5826,1.8062,15N,40W,340.20795
LN-48811,2021-08,20,06:19:46,45177,-3,P,0.5727,1.8242,18S,94E,339.27509999999995
LN-48805,2020-02,13,02:08:34,45165,2,T+,0.1751,2.5281,19N,161E,339.6897
LN-48799,2022-08,9,10:16:29,45154,7,T-,-0.159,2.6051,21S,35E,384.4665
LN-48793,2020-02,2,17:38:57,45142,12,P,0.8659,1.2481,22N,72W,273.45734999999996
LN-48787,2022-07,29,10:15:45,45130,17,P,-0.888,1.2673,24S,34E,320.4108
LN-48782,2021-12,24,22:16:54,45121,-16,N,-1.1334,0.7836,22N,145W,240.1857
LN-48776,2021-06,18,02:42:46,45109,-11,N,1.1174,0.8054,21S,145E,245.47185
LN-48770,2024-12,13,06:09:27,45097,-6,P,-0.4736,2.0244,21N,95E,358.86495
LN-48764,2023-06,7,16:52:12,45086,-1,T,0.3259,2.2347,20S,68W,325.07505
LN-48758,2022-12,2,06:59:23,45074,4,T+,0.2115,2.5233,20N,81E,389.33804999999995
LN-48752,2021-05,28,10:05:45,45062,9,T,-0.4149,2.0674,18S,33E,317.30129999999997
LN-48746,2020-11,21,06:22:58,45051,14,P,0.8782,1.2917,17N,90E,319.7889
LN-48741,2024-04,18,16:25:15,45041,-19,N,1.4191,0.2567,3S,58W,148.04085
LN-48740,2020-05,18,01:44:16,45039,19,N,-1.1948,0.6538,16S,159E,219.97395
LN-48735,2023-10,11,22:16:40,45029,-14,N,-1.2932,0.4862,0S,147W,192.61034999999998
LN-48734,2023-11,10,11:29:55,45027,24,N,1.5025,0.1185,14N,12E,101.9166
LN-48729,2025-04,6,22:28:13,45018,-9,P,0.7028,1.5973,1N,148W,341.45175
LN-48723,2021-09,30,12:54:52,45006,-4,P,-0.589,1.7613,4S,6W,306.31440000000003
LN-48717,2022-03,26,23:10:33,44995,1,T-,-0.0493,2.8043,4N,157W,388.09425
LN-48711,2021-09,20,04:38:42,44983,6,T+,0.0866,2.6887,8S,118E,336.3729
LN-48705,2020-03,16,01:37:58,44971,11,P,-0.7937,1.4221,8N,166E,320.51445
LN-48699,2021-09,9,16:49:58,44960,16,P,0.8221,1.3630000000000002,11S,65W,305.4852
LN-48694,2021-02,4,01:16:41,44950,-17,N,1.1544,0.7263,22N,173E,224.84550000000002
LN-48693,2020-03,5,10:56:43,44948,21,N,-1.4792,0.1377,11N,27E,106.26989999999999
LN-48688,2022-07,31,05:37:10,44938,-12,N,-1.328,0.4616,24S,103E,210.64545
LN-48682,2024-01,24,17:18:03,44927,-7,T,0.4521,2.0089,23N,68W,315.95385
LN-48676,2024-07,19,05:56:25,44915,-2,P,-0.5907,1.807,24S,97E,355.0299
LN-48670,2020-01,13,08:25:06,44904,3,T-,-0.243,2.4090000000000003,23N,64E,339.37874999999997
LN-48664,2021-07,8,11:29:27,44892,8,T+,0.1844,2.5257,24S,13E,356.2737
LN-48658,2020-01,2,18:10:11,44880,13,P,-0.9913,1.0656,23N,84W,286.82820000000004
LN-48652,2021-06,28,00:16:33,44869,18,P,0.9163,1.1565,22S,179W,270.6588
LN-48647,2025-11,23,01:12:12,44859,-15,N,1.3273,0.4765,18N,167E,215.517
LN-48641,2022-05,19,10:25:50,44847,-10,P,-0.8753,1.2255,16S,28E,273.56100000000004
LN-48635,2020-11,12,01:40:00,44836,-5,P,0.6294,1.7413,14N,160E,346.5306
LN-48629,2023-05,8,00:48:41,44824,0,T-,-0.1337,2.6083,12S,173E,350.3656500000001
LN-48623,2025-10,31,08:56:42,44813,5,T-,-0.0872,2.7067,9N,51E,350.57295
LN-48617,2025-04,27,08:31:07,44801,10,P,0.6654,1.6599,7S,59E,341.3481
LN-48611,2021-10,20,22:30:56,44790,15,P,-0.7511,1.4673,4N,152W,291.38879999999995
LN-48606,2025-03,17,18:47:44,44780,-18,N,-1.4213,0.285,7N,92W,167.00879999999998
LN-48605,2025-04,16,10:00:50,44778,20,N,1.4404,0.2505,2S,37E,158.0949
LN-48600,2025-09,11,03:30:46,44768,-13,N,1.2728,0.5168,10S,134E,196.23809999999997
LN-48599,2025-10,10,14:14:24,44766,25,N,-1.4059,0.2663,1S,28W,141.09629999999999
LN-48594,2024-03,6,22:51:19,44757,-8,P,-0.6339,1.7088,11N,152W,333.26340000000005
LN-48588,2021-08,31,14:02:16,44745,-3,P,0.6084,1.7621,14S,23W,337.72034999999994
LN-48582,2022-02,24,10:00:35,44733,2,T+,0.1325,2.6032,16N,41E,339.06780000000003
LN-48576,2020-08,19,17:25:21,44722,7,T-,-0.1117,2.6946,18S,74W,386.64315
LN-48570,2022-02,13,01:49:25,44710,12,P,0.8312,1.31,19N,164E,277.9143
LN-48564,2025-08,8,17:15:18,44699,17,P,-0.8322,1.3706,22S,72W,329.01374999999996
LN-48559,2023-01,4,06:41:30,44689,-16,N,-1.1486,0.7559999999999999,23N,88E,237.2835
LN-48558,2021-02,2,17:47:59,44687,22,N,1.5407,0.0197,23N,76W,39.7266
LN-48553,2022-06,29,09:52:43,44677,-11,N,1.1822,0.6858,22S,36E,228.3696
LN-48552,2025-07,28,21:01:47,44676,27,N,-1.5162,0.0912,24S,129W,91.24064999999999
LN-48547,2022-12,24,14:16:18,44666,-6,P,-0.4837,2.0062,23N,27W,359.07225
LN-48541,2022-06,19,00:17:31,44654,-1,T,0.3961,2.1056,22S,179E,320.82540000000006
LN-48535,2024-12,13,14:55:19,44643,4,T+,0.2042,2.5363,22N,38W,389.649
LN-48529,2020-06,7,17:29:26,44631,9,T,-0.3417,2.2028,21S,79W,321.86190000000005
LN-48523,2025-12,1,14:32:33,44620,14,P,0.8742,1.2973,20N,34W,319.27065000000005
LN-48518,2022-04,28,23:19:12,44610,-19,Ne,1.5009,0.1078,7S,164W,97.5633
LN-48517,2021-05,28,08:48:40,44608,19,N,-1.1217,0.7897,19S,51E,239.46015
LN-48512,2024-10,22,06:56:11,44598,-14,N,-1.2928,0.4864,4N,81E,192.09210000000002
LN-48511,2025-11,20,20:04:34,44597,24,N,1.4993,0.1227,17N,118W,103.26405
LN-48506,2024-04,18,04:58:14,44587,-9,P,0.7862,1.4445,3S,112E,331.29404999999997
LN-48500,2022-10,11,21:38:54,44575,-4,P,-0.5964,1.7484,0N,140W,305.6925
LN-48494,2022-04,7,05:39:20,44564,1,T+,0.0302,2.8377,0N,103E,387.47235
LN-48488,2023-10,1,13:10:59,44552,6,T+,0.0741,2.714,3S,13W,337.61670000000004
LN-48482,2020-03,26,08:35:29,44541,11,P,-0.7246,1.5457,4N,59E,327.76995
LN-48476,2020-09,20,00:53:59,44529,16,P,0.8037,1.3999,7S,172E,309.73484999999994
LN-48471,2021-02,14,09:20:46,44519,-17,N,1.1871,0.6637,19N,51E,215.517
LN-48470,2021-03,15,18:28:43,44517,21,N,-1.421,0.2415,7N,89W,138.816
LN-48465,2020-08,10,12:34:17,44508,-12,N,-1.3829,0.3631,22S,2W,188.87895
LN-48464,2025-09,9,05:36:35,44506,26,N,1.5633,0.0306,11S,101E,55.6887
LN-48459,2025-02,4,01:35:40,44496,-7,P,0.4818,1.953,21N,166E,313.9845
LN-48453,2022-07,30,12:52:49,44485,-2,P,-0.6502,1.6982,23S,8W,348.18899999999996
LN-48447,2024-01,24,16:41:03,44473,3,T-,-0.2209,2.4493,22N,61W,341.03715000000005
LN-48441,2022-07,19,18:45:27,44462,8,T+,0.1221,2.6396,24S,97W,356.37735
LN-48435,2022-01,14,02:10:19,44450,13,P,-0.976,1.0938,23N,155E,290.5596
LN-48429,2021-07,8,07:48:07,44438,18,P,0.8512,1.2758,23S,67E,279.88365
LN-48424,2023-12,3,09:11:29,44429,-15,N,1.3306,0.4698,21N,46E,213.96224999999998
LN-48418,2024-05,29,17:44:39,44417,-10,P,-0.9511,1.0875,19S,84W,262.26315
LN-48412,2024-11,22,09:56:28,44406,-5,P,0.6279,1.7425,17N,34E,345.39045
LN-48406,2020-05,19,07:46:48,44394,0,T-,-0.2133,2.4641,15S,66E,350.0547
LN-48400,2023-11,11,17:35:59,44383,5,T-,-0.0882,2.7036,13N,81W,349.32915
LN-48394,2020-05,8,15:00:57,44371,10,P,0.5828,1.8126,11S,42W,351.19485
LN-48388,2021-11,1,07:21:56,44360,15,P,-0.7498,1.4698,8N,73E,291.28515000000004
LN-48383,2021-03,28,01:26:18,44350,-18,N,-1.489,0.1585,3N,165E,125.5488
LN-48382,2024-04,26,16:19:27,44348,20,N,1.3567,0.4031,6S,60W,197.68920000000003
LN-48377,2020-09,21,11:51:57,44338,-13,N,1.2931,0.4824,6S,6E,190.8483
LN-48376,2024-10,20,22:59:59,44337,25,N,-1.4048,0.2699,3N,161W,142.23645
LN-48371,2022-03,17,06:02:25,44327,-8,P,-0.6917,1.5994,7N,98E,325.07505
LN-48365,2023-09,10,21:52:33,44315,-3,P,0.6365,1.7139,11S,143W,336.68385
LN-48359,2022-03,6,17:43:30,44304,2,T+,0.0818,2.6934,12N,77W,338.44590000000005
LN-48353,2022-08,31,00:44:07,44292,7,T-,-0.0731,2.7679,15S,174E,388.40520000000004
LN-48347,2023-02,24,09:51:39,44281,12,P,0.7901,1.3839,16N,42E,282.99315
LN-48341,2020-08,20,00:24:50,44269,17,P,-0.7839,1.4601,19S,179E,335.85465000000005
LN-48336,2020-01,15,14:58:54,44260,-16,N,-1.1689,0.7189,22N,37W,233.03385
LN-48335,2025-02,14,01:51:59,44258,22,N,1.5115,0.0728,20N,162E,76.2114
LN-48330,2023-07,9,17:09:26,44248,-11,N,1.242,0.5753,23S,74W,210.64545
LN-48329,2022-08,8,04:26:05,44246,27,N,-1.4624,0.1897,22S,118E,130.1094
LN-48324,2021-01,3,22:16:52,44237,-6,P,-0.4984,1.9793,23N,148W,358.86495
LN-48318,2025-06,29,07:46:09,44225,-1,T,0.4639,1.9814,23S,66E,316.0575
LN-48312,2020-12,23,22:47:02,44214,4,T+,0.1935,2.5549,23N,157W,389.75265
LN-48306,2020-06,19,00:55:24,44202,9,T-,-0.2707,2.3343,23S,168E,325.5933
LN-48300,2021-12,12,22:38:44,44191,14,P,0.867,1.3086,22N,156W,319.27065000000005
LN-48294,2025-06,8,15:54:50,44179,19,N,-1.0508,0.922,21S,58W,256.3551
LN-48289,2025-11,2,15:39:00,44169,-14,N,-1.2901,0.4904,8N,52W,192.2994
LN-48288,2021-12,2,04:38:02,44167,24,N,1.4949,0.1288,21N,113E,105.33705
LN-48283,2022-04,28,11:24:14,44158,-9,P,0.872,1.2874,7S,13E,319.16700000000003
LN-48277,2025-10,22,06:26:51,44146,-4,P,-0.6006,1.7412,5N,86E,305.27790000000005
LN-48271,2023-04,17,12:03:29,44135,1,T+,0.1136,2.6832,4S,4E,385.71029999999996
LN-48265,2023-10,11,21:48:28,44123,6,T+,0.0661,2.7307,1N,144W,338.75685
LN-48259,2021-04,6,15:26:31,44112,11,P,-0.649,1.6817,0S,46W,334.71450000000004
LN-48253,2021-10,1,09:05:16,44100,16,P,0.7919,1.4245,3S,47E,312.948
LN-48248,2025-02,25,17:15:41,44091,-17,N,1.228,0.5861,16N,70W,203.49360000000001
LN-48247,2024-03,27,01:54:06,44089,21,N,-1.3563,0.3575,3N,157E,166.38689999999997
LN-48242,2020-08,21,19:41:17,44079,-12,N,-1.4295,0.2798,19S,110W,167.31975
LN-48241,2023-09,20,13:15:40,44077,26,N,1.5417,0.0728,7S,16W,85.9545
LN-48236,2025-02,15,09:44:19,44068,-7,P,0.5192,1.8834,19N,43E,311.18595
LN-48230,2024-08,9,19:59:34,44056,-2,P,-0.7020000000000001,1.6037,21S,116W,341.5554
LN-48224,2022-02,4,00:46:57,44045,3,T-,-0.1913,2.5035,20N,176E,342.90284999999994
LN-48218,2021-07,30,02:09:52,44033,8,T+,0.0657,2.7428,22S,151E,355.8591
LN-48212,2024-01,24,10:00:54,44022,13,P,-0.9537,1.1347,22N,37E,295.5348
LN-48206,2021-07,19,15:26:32,44010,18,P,0.7913,1.386,23S,49W,287.4501
LN-48201,2020-12,14,17:07:48,44001,-15,N,1.3364,0.4581,23N,74W,211.26735000000002
LN-48195,2023-06,10,01:04:51,43989,-10,N,-1.0253,0.953,22S,164E,249.82514999999998
LN-48194,2025-07,9,08:15:12,43987,28,N,1.484,0.1081,22S,58E,90.1005
LN-48189,2022-12,3,18:13:37,43978,-5,P,0.6268,1.7427,20N,92W,344.14665
LN-48183,2023-05,29,14:43:12,43966,0,T,-0.2931,2.3196,18S,40W,348.70725
LN-48177,2021-11,22,02:17:20,43955,5,T-,-0.0902,2.6984,17N,147E,347.98170000000005
LN-48171,2020-05,18,21:28:01,43943,10,P,0.4983,1.969,15S,141W,359.90145
LN-48165,2021-11,11,16:15:10,43932,15,P,-0.7504,1.4684,12N,63W,290.87055
LN-48160,2020-04,8,07:59:26,43922,-18,Ne,-1.5608,0.0246,2S,64E,49.8843
LN-48159,2024-05,7,22:35:43,43920,20,N,1.2706,0.5607,10S,157W,229.61339999999998
LN-48154,2021-10,2,20:19:24,43911,-13,N,1.3076,0.4582,2S,123W,187.1169
LN-48153,2025-11,1,07:48:24,43909,25,N,-1.4064,0.2682,8N,64E,142.13279999999997
LN-48148,2021-03,28,13:09:19,43899,-8,P,-0.7536,1.4827,3N,12W,315.8502
LN-48142,2023-09,22,05:48:49,43888,-3,P,0.6587,1.6763,6S,96E,336.1656
LN-48136,2021-03,17,01:21:33,43876,2,T+,0.0264,2.7925,8N,166E,337.51305
LN-48130,2022-09,10,08:11:00,43865,7,T-,-0.0416,2.8281,11S,61E,389.75265
LN-48124,2021-03,6,17:44:59,43853,12,P,0.7416,1.4715,13N,79W,288.6939
LN-48118,2025-08,30,07:44:56,43842,17,P,-0.7436,1.535,16S,67E,340.9335
LN-48113,2025-01,25,23:05:46,43832,-16,N,-1.197,0.6673,21N,160W,226.40025
LN-48112,2022-02,24,09:45:03,43830,22,N,1.4743,0.1409,17N,42E,105.648
LN-48107,2023-07,21,00:35:44,43821,-11,N,1.295,0.4779,22S,173E,193.1286
LN-48106,2020-08,19,12:02:13,43819,27,N,-1.4169999999999998,0.273,20S,3E,154.3635
LN-48101,2020-01,15,06:06:31,43809,-6,P,-0.5212,1.9374,23N,94E,357.9321
LN-48095,2023-07,10,15:22:29,43798,-1,P,0.5255,1.8687,23S,49W,311.18595
LN-48089,2025-01,4,06:31:35,43786,4,T+,0.1771,2.5837,24N,86E,389.95995
LN-48083,2023-06,29,08:24:20,43775,9,T-,-0.2027,2.4607,24S,54E,328.59915
LN-48077,2021-12,23,06:42:08,43763,14,P,0.8568,1.325,24N,82E,319.47795
LN-48071,2024-06,18,23:01:01,43752,19,P,-0.9809,1.0527,23S,166W,271.38435
LN-48066,2025-11,13,00:25:20,43743,-14,N,-1.2857,0.4974,12N,174E,192.92129999999997
LN-48065,2021-12,12,13:10:04,43741,24,N,1.4886,0.1382,23N,16W,108.55019999999999
LN-48060,2024-05,9,17:44:44,43731,-9,P,0.9614,1.1241,11S,85W,304.2414
LN-48054,2020-11,2,15:19:24,43720,-4,P,-0.6014,1.7401,9N,49W,305.17425000000003
LN-48048,2022-04,28,18:24:44,43708,1,T+,0.1999,2.5233,8S,95W,382.80809999999997
LN-48042,2022-10,23,06:30:03,43697,6,T+,0.062,2.7402,6N,83E,339.89700000000005
LN-48036,2020-04,16,22:16:03,43685,11,P,-0.5708,1.8224,4S,152W,340.7262
